category,group,measure,year,value,chart
Shared Lifetime Earnings Quintile,top quintile,per capita annuity,2065.0,193927.728,mean.income
Homeownership,Home Owner,per capita annuity,2065.0,95193.962,mean.income
Homeownership,Renter,per capita annuity,2065.0,44802.49,mean.income
Family Income Relative to Official Poverty,1.Less 100% of Poverty,per capita annuity,2065.0,13590.581,mean.income
Family Income Relative to Official Poverty,2.100-199% of Poverty,per capita annuity,2065.0,25419.017,mean.income
Family Income Relative to Official Poverty,3.200-399% of Poverty,per capita annuity,2065.0,41140.529,mean.income
Family Income Relative to Official Poverty,4.400%+ of Poverty,per capita annuity,2065.0,118420.464,mean.income
Per Capita Retirement Account Assets ($2015),<0k,per capita annuity,2065.0,33082.897,mean.income
Per Capita Retirement Account Assets ($2015),0k -  5k,per capita annuity,2065.0,29011.67,mean.income
Per Capita Retirement Account Assets ($2015),5k - 25k,per capita annuity,2065.0,38650.164,mean.income
Per Capita Retirement Account Assets ($2015),25k +,per capita annuity,2065.0,104378.571,mean.income
Per Capita Financial Assets ($2015),<0k,per capita annuity,2065.0,22533.319,mean.income
Per Capita Financial Assets ($2015),0k -  5k,per capita annuity,2065.0,34545.85,mean.income
Per Capita Financial Assets ($2015),5k - 25k,per capita annuity,2065.0,45352.069,mean.income
Per Capita Financial Assets ($2015),25k +,per capita annuity,2065.0,105389.774,mean.income
Per Capita Financial + Retirement Account Assets ($2015),<0k,per capita annuity,2065.0,17818.031,mean.income
Per Capita Financial + Retirement Account Assets ($2015),0k -  5k,per capita annuity,2065.0,21143.234,mean.income
Per Capita Financial + Retirement Account Assets ($2015),5k - 25k,per capita annuity,2065.0,25163.9,mean.income
Per Capita Financial + Retirement Account Assets ($2015),25k +,per capita annuity,2065.0,93525.036,mean.income
All,All,per capita cash,2065.0,58328.014,mean.income
Age,62-69,per capita cash,2065.0,64476.092,mean.income
Age,70-74,per capita cash,2065.0,65304.736,mean.income
Age,75-79,per capita cash,2065.0,57156.162,mean.income
Age,80-84,per capita cash,2065.0,50307.124,mean.income
Age,85+,per capita cash,2065.0,45746.861,mean.income
Sex,Female,per capita cash,2065.0,57330.954,mean.income
Sex,Male,per capita cash,2065.0,59456.668,mean.income
Education,1.High School Dropout,per capita cash,2065.0,27075.857,mean.income
Education,2.High School Graduate,per capita cash,2065.0,46328.072,mean.income
Education,3.Some College,per capita cash,2065.0,57311.508,mean.income
Education,4.College Graduate,per capita cash,2065.0,77104.743,mean.income
Race Ethnicity,1.White,per capita cash,2065.0,66148.723,mean.income
Race Ethnicity,2.Black,per capita cash,2065.0,47711.99,mean.income
Race Ethnicity,3.Hispanic,per capita cash,2065.0,46830.658,mean.income
Race Ethnicity,4.Other,per capita cash,2065.0,53888.861,mean.income
Marital Status,Married,per capita cash,2065.0,58491.803,mean.income
Marital Status,Widowed,per capita cash,2065.0,61809.805,mean.income
Marital Status,Divorced,per capita cash,2065.0,58778.345,mean.income
Marital Status,Single,per capita cash,2065.0,53959.965,mean.income
Shared Work Years,0-9,per capita cash,2065.0,10255.082,mean.income
Shared Work Years,10-14,per capita cash,2065.0,21074.259,mean.income
Shared Work Years,15-19,per capita cash,2065.0,23772.879,mean.income
Shared Work Years,20-24,per capita cash,2065.0,29081.027,mean.income
Shared Work Years,25-29,per capita cash,2065.0,36636.512,mean.income
Shared Work Years,30-34,per capita cash,2065.0,40639.72,mean.income
Shared Work Years,35-39,per capita cash,2065.0,50310.046,mean.income
Shared Work Years,40+,per capita cash,2065.0,75874.95,mean.income
Own Work Years,0-9,per capita cash,2065.0,19270.453,mean.income
Own Work Years,10-14,per capita cash,2065.0,29958.841,mean.income
Own Work Years,15-19,per capita cash,2065.0,30275.4,mean.income
Own Work Years,20-24,per capita cash,2065.0,33999.627,mean.income
Own Work Years,25-29,per capita cash,2065.0,36772.351,mean.income
Own Work Years,30-34,per capita cash,2065.0,42628.502,mean.income
Own Work Years,35-39,per capita cash,2065.0,46542.878,mean.income
Own Work Years,40+,per capita cash,2065.0,74332.063,mean.income
Shared Income Quintile,bottom quintile,per capita cash,2065.0,13348.329,mean.income
Shared Income Quintile,2nd quintile,per capita cash,2065.0,26592.702,mean.income
Shared Income Quintile,3rd quintile,per capita cash,2065.0,41774.468,mean.income
Shared Income Quintile,4th quintile,per capita cash,2065.0,66777.716,mean.income
Shared Income Quintile,top quintile,per capita cash,2065.0,143155.257,mean.income
Shared Lifetime Earnings Quintile,bottom quintile,per capita cash,2065.0,19888.329,mean.income
Shared Lifetime Earnings Quintile,2nd quintile,per capita cash,2065.0,33313.947,mean.income
Shared Lifetime Earnings Quintile,3rd quintile,per capita cash,2065.0,47933.016,mean.income
Shared Lifetime Earnings Quintile,4th quintile,per capita cash,2065.0,68679.59,mean.income
Shared Lifetime Earnings Quintile,top quintile,per capita cash,2065.0,121830.679,mean.income
Homeownership,Home Owner,per capita cash,2065.0,66445.623,mean.income
Homeownership,Renter,per capita cash,2065.0,35287.809,mean.income
Family Income Relative to Official Poverty,1.Less 100% of Poverty,per capita cash,2065.0,4303.893,mean.income
Family Income Relative to Official Poverty,2.100-199% of Poverty,per capita cash,2065.0,17514.502,mean.income
Family Income Relative to Official Poverty,3.200-399% of Poverty,per capita cash,2065.0,27409.767,mean.income
Family Income Relative to Official Poverty,4.400%+ of Poverty,per capita cash,2065.0,85521.003,mean.income
Per Capita Retirement Account Assets ($2015),<0k,per capita cash,2065.0,25449.319,mean.income
Per Capita Retirement Account Assets ($2015),0k -  5k,per capita cash,2065.0,21543.113,mean.income
Per Capita Retirement Account Assets ($2015),5k - 25k,per capita cash,2065.0,28773.95,mean.income
Per Capita Retirement Account Assets ($2015),25k +,per capita cash,2065.0,73459.704,mean.income
Per Capita Financial Assets ($2015),<0k,per capita cash,2065.0,20813.146,mean.income
Per Capita Financial Assets ($2015),0k -  5k,per capita cash,2065.0,30377.647,mean.income
Per Capita Financial Assets ($2015),5k - 25k,per capita cash,2065.0,40548.06,mean.income
Per Capita Financial Assets ($2015),25k +,per capita cash,2065.0,71106.259,mean.income
Per Capita Financial + Retirement Account Assets ($2015),<0k,per capita cash,2065.0,16823.976,mean.income
Per Capita Financial + Retirement Account Assets ($2015),0k -  5k,per capita cash,2065.0,18612.158,mean.income
Per Capita Financial + Retirement Account Assets ($2015),5k - 25k,per capita cash,2065.0,22053.014,mean.income
Per Capita Financial + Retirement Account Assets ($2015),25k +,per capita cash,2065.0,65696.435,mean.income
All,All,net per capita annuity,2065.0,65687.471,mean.income
Age,62-69,net per capita annuity,2065.0,71915.858,mean.income
Age,70-74,net per capita annuity,2065.0,63773.188,mean.income
Age,75-79,net per capita annuity,2065.0,60900.785,mean.income
Age,80-84,net per capita annuity,2065.0,60423.095,mean.income
Age,85+,net per capita annuity,2065.0,64869.195,mean.income
Sex,Female,net per capita annuity,2065.0,63240.622,mean.income
Sex,Male,net per capita annuity,2065.0,68457.26,mean.income
Education,1.High School Dropout,net per capita annuity,2065.0,25130.487,mean.income
Education,2.High School Graduate,net per capita annuity,2065.0,48966.843,mean.income
Education,3.Some College,net per capita annuity,2065.0,60742.869,mean.income
Education,4.College Graduate,net per capita annuity,2065.0,92762.026,mean.income
Race Ethnicity,1.White,net per capita annuity,2065.0,77902.257,mean.income
Race Ethnicity,2.Black,net per capita annuity,2065.0,44509.088,mean.income
Race Ethnicity,3.Hispanic,net per capita annuity,2065.0,49123.166,mean.income
Race Ethnicity,4.Other,net per capita annuity,2065.0,61958.976,mean.income
Marital Status,Married,net per capita annuity,2065.0,62557.834,mean.income
Marital Status,Widowed,net per capita annuity,2065.0,72466.501,mean.income
Marital Status,Divorced,net per capita annuity,2065.0,70752.417,mean.income
Marital Status,Single,net per capita annuity,2065.0,64828.642,mean.income
Shared Work Years,0-9,net per capita annuity,2065.0,5166.657,mean.income
Shared Work Years,10-14,net per capita annuity,2065.0,17899.664,mean.income
Shared Work Years,15-19,net per capita annuity,2065.0,23216.3,mean.income
Shared Work Years,20-24,net per capita annuity,2065.0,30845.145,mean.income
Shared Work Years,25-29,net per capita annuity,2065.0,36032.141,mean.income
Shared Work Years,30-34,net per capita annuity,2065.0,45695.042,mean.income
Shared Work Years,35-39,net per capita annuity,2065.0,55212.529,mean.income
Shared Work Years,40+,net per capita annuity,2065.0,87536.949,mean.income
Own Work Years,0-9,net per capita annuity,2065.0,17414.602,mean.income
Own Work Years,10-14,net per capita annuity,2065.0,27895.94,mean.income
Own Work Years,15-19,net per capita annuity,2065.0,31100.268,mean.income
Own Work Years,20-24,net per capita annuity,2065.0,34695.117,mean.income
Own Work Years,25-29,net per capita annuity,2065.0,40503.939,mean.income
Own Work Years,30-34,net per capita annuity,2065.0,45625.855,mean.income
Own Work Years,35-39,net per capita annuity,2065.0,52202.34,mean.income
Own Work Years,40+,net per capita annuity,2065.0,85433.285,mean.income
Shared Income Quintile,bottom quintile,net per capita annuity,2065.0,8925.746,mean.income
Shared Income Quintile,2nd quintile,net per capita annuity,2065.0,24571.504,mean.income
Shared Income Quintile,3rd quintile,net per capita annuity,2065.0,42080.147,mean.income
Shared Income Quintile,4th quintile,net per capita annuity,2065.0,68725.27,mean.income
Shared Income Quintile,top quintile,net per capita annuity,2065.0,184145.483,mean.income
Shared Lifetime Earnings Quintile,bottom quintile,net per capita annuity,2065.0,17125.431,mean.income
Shared Lifetime Earnings Quintile,2nd quintile,net per capita annuity,2065.0,32610.169,mean.income
Shared Lifetime Earnings Quintile,3rd quintile,net per capita annuity,2065.0,49229.747,mean.income
Shared Lifetime Earnings Quintile,4th quintile,net per capita annuity,2065.0,73382.993,mean.income
Shared Lifetime Earnings Quintile,top quintile,net per capita annuity,2065.0,156096.329,mean.income
Homeownership,Home Owner,net per capita annuity,2065.0,76587.194,mean.income
Homeownership,Renter,net per capita annuity,2065.0,34750.794,mean.income
Family Income Relative to Official Poverty,1.Less 100% of Poverty,net per capita annuity,2065.0,7631.952,mean.income
Family Income Relative to Official Poverty,2.100-199% of Poverty,net per capita annuity,2065.0,19513.665,mean.income
Family Income Relative to Official Poverty,3.200-399% of Poverty,net per capita annuity,2065.0,34677.544,mean.income
Family Income Relative to Official Poverty,4.400%+ of Poverty,net per capita annuity,2065.0,94433.115,mean.income
Per Capita Retirement Account Assets ($2015),<0k,net per capita annuity,2065.0,24874.491,mean.income
Per Capita Retirement Account Assets ($2015),0k -  5k,net per capita annuity,2065.0,22087.105,mean.income
Per Capita Retirement Account Assets ($2015),5k - 25k,net per capita annuity,2065.0,30497.276,mean.income
Per Capita Retirement Account Assets ($2015),25k +,net per capita annuity,2065.0,84088.755,mean.income
Per Capita Financial Assets ($2015),<0k,net per capita annuity,2065.0,14888.763,mean.income
Per Capita Financial Assets ($2015),0k -  5k,net per capita annuity,2065.0,26344.802,mean.income
Per Capita Financial Assets ($2015),5k - 25k,net per capita annuity,2065.0,35112.854,mean.income
Per Capita Financial Assets ($2015),25k +,net per capita annuity,2065.0,85181.846,mean.income
Per Capita Financial + Retirement Account Assets ($2015),<0k,net per capita annuity,2065.0,11182.396,mean.income
Per Capita Financial + Retirement Account Assets ($2015),0k -  5k,net per capita annuity,2065.0,14659.709,mean.income
Per Capita Financial + Retirement Account Assets ($2015),5k - 25k,net per capita annuity,2065.0,18271.928,mean.income
Per Capita Financial + Retirement Account Assets ($2015),25k +,net per capita annuity,2065.0,75299.353,mean.income
All,All,net per capita cash,2065.0,41950.117,mean.income
Age,62-69,net per capita cash,2065.0,45220.873,mean.income
Age,70-74,net per capita cash,2065.0,46494.785,mean.income
Age,75-79,net per capita cash,2065.0,41376.216,mean.income
Age,80-84,net per capita cash,2065.0,37320.19,mean.income
Age,85+,net per capita cash,2065.0,34530.056,mean.income
Sex,Female,net per capita cash,2065.0,41447.431,mean.income
Sex,Male,net per capita cash,2065.0,42519.148,mean.income
Education,1.High School Dropout,net per capita cash,2065.0,18623.082,mean.income
Education,2.High School Graduate,net per capita cash,2065.0,33777.056,mean.income
Education,3.Some College,net per capita cash,2065.0,41639.22,mean.income
Education,4.College Graduate,net per capita cash,2065.0,55125.598,mean.income
Race Ethnicity,1.White,net per capita cash,2065.0,47717.176,mean.income
Race Ethnicity,2.Black,net per capita cash,2065.0,34379.175,mean.income
Race Ethnicity,3.Hispanic,net per capita cash,2065.0,33215.062,mean.income
Race Ethnicity,4.Other,net per capita cash,2065.0,38886.48,mean.income
Marital Status,Married,net per capita cash,2065.0,41402.384,mean.income
Marital Status,Widowed,net per capita cash,2065.0,46846.763,mean.income
Marital Status,Divorced,net per capita cash,2065.0,42195.555,mean.income
Marital Status,Single,net per capita cash,2065.0,38426.523,mean.income
Shared Work Years,0-9,net per capita cash,2065.0,3782.383,mean.income
Shared Work Years,10-14,net per capita cash,2065.0,13837.571,mean.income
Shared Work Years,15-19,net per capita cash,2065.0,16292.576,mean.income
Shared Work Years,20-24,net per capita cash,2065.0,20577.924,mean.income
Shared Work Years,25-29,net per capita cash,2065.0,25614.368,mean.income
Shared Work Years,30-34,net per capita cash,2065.0,29634.283,mean.income
Shared Work Years,35-39,net per capita cash,2065.0,36716.266,mean.income
Shared Work Years,40+,net per capita cash,2065.0,54782.54,mean.income
Own Work Years,0-9,net per capita cash,2065.0,11628.432,mean.income
Own Work Years,10-14,net per capita cash,2065.0,20237.667,mean.income
Own Work Years,15-19,net per capita cash,2065.0,21306.997,mean.income
Own Work Years,20-24,net per capita cash,2065.0,24560.396,mean.income
Own Work Years,25-29,net per capita cash,2065.0,26678.714,mean.income
Own Work Years,30-34,net per capita cash,2065.0,30602.311,mean.income
Own Work Years,35-39,net per capita cash,2065.0,34336.213,mean.income
Own Work Years,40+,net per capita cash,2065.0,53556.62,mean.income
Shared Income Quintile,bottom quintile,net per capita cash,2065.0,7410.443,mean.income
Shared Income Quintile,2nd quintile,net per capita cash,2065.0,19965.463,mean.income
Shared Income Quintile,3rd quintile,net per capita cash,2065.0,32913.997,mean.income
Shared Income Quintile,4th quintile,net per capita cash,2065.0,51295.332,mean.income
Shared Income Quintile,top quintile,net per capita cash,2065.0,98171.653,mean.income
Shared Lifetime Earnings Quintile,bottom quintile,net per capita cash,2065.0,13072.21,mean.income
Shared Lifetime Earnings Quintile,2nd quintile,net per capita cash,2065.0,24681.228,mean.income
Shared Lifetime Earnings Quintile,3rd quintile,net per capita cash,2065.0,36510.893,mean.income
Shared Lifetime Earnings Quintile,4th quintile,net per capita cash,2065.0,51490.831,mean.income
Shared Lifetime Earnings Quintile,top quintile,net per capita cash,2065.0,83999.28,mean.income
Homeownership,Home Owner,net per capita cash,2065.0,47838.856,mean.income
Homeownership,Renter,net per capita cash,2065.0,25236.113,mean.income
Family Income Relative to Official Poverty,1.Less 100% of Poverty,net per capita cash,2065.0,-1654.736,mean.income
Family Income Relative to Official Poverty,2.100-199% of Poverty,net per capita cash,2065.0,11609.149,mean.income
Family Income Relative to Official Poverty,3.200-399% of Poverty,net per capita cash,2065.0,20946.783,mean.income
Family Income Relative to Official Poverty,4.400%+ of Poverty,net per capita cash,2065.0,61533.654,mean.income
Per Capita Retirement Account Assets ($2015),<0k,net per capita cash,2065.0,17240.912,mean.income
Per Capita Retirement Account Assets ($2015),0k -  5k,net per capita cash,2065.0,14618.548,mean.income
Per Capita Retirement Account Assets ($2015),5k - 25k,net per capita cash,2065.0,20621.063,mean.income
Per Capita Retirement Account Assets ($2015),25k +,net per capita cash,2065.0,53169.888,mean.income
Per Capita Financial Assets ($2015),<0k,net per capita cash,2065.0,13168.591,mean.income
Per Capita Financial Assets ($2015),0k -  5k,net per capita cash,2065.0,22176.599,mean.income
Per Capita Financial Assets ($2015),5k - 25k,net per capita cash,2065.0,30308.845,mean.income
Per Capita Financial Assets ($2015),25k +,net per capita cash,2065.0,50898.331,mean.income
Per Capita Financial + Retirement Account Assets ($2015),<0k,net per capita cash,2065.0,10188.34,mean.income
Per Capita Financial + Retirement Account Assets ($2015),0k -  5k,net per capita cash,2065.0,12128.634,mean.income
Per Capita Financial + Retirement Account Assets ($2015),5k - 25k,net per capita cash,2065.0,15161.042,mean.income
Per Capita Financial + Retirement Account Assets ($2015),25k +,net per capita cash,2065.0,47470.752,mean.income
All,All,per capita annuity,2015.0,-68.28500000000349,scheduled.dollar.change
Age,62-69,per capita annuity,2015.0,-57.095000000001164,scheduled.dollar.change
Age,70-74,per capita annuity,2015.0,-108.93800000000192,scheduled.dollar.change
Age,75-79,per capita annuity,2015.0,-84.9910000000018,scheduled.dollar.change
Age,80-84,per capita annuity,2015.0,-68.83699999999953,scheduled.dollar.change
Age,85+,per capita annuity,2015.0,-16.608000000000175,scheduled.dollar.change
Sex,Female,per capita annuity,2015.0,-59.93499999999767,scheduled.dollar.change
Sex,Male,per capita annuity,2015.0,-78.38800000000629,scheduled.dollar.change
Education,1.High School Dropout,per capita annuity,2015.0,-34.63999999999942,scheduled.dollar.change
Education,2.High School Graduate,per capita annuity,2015.0,-64.54000000000087,scheduled.dollar.change
Education,3.Some College,per capita annuity,2015.0,-63.91700000000128,scheduled.dollar.change
Education,4.College Graduate,per capita annuity,2015.0,-97.6469999999972,scheduled.dollar.change
Race Ethnicity,1.White,per capita annuity,2015.0,-77.12300000000687,scheduled.dollar.change
Race Ethnicity,2.Black,per capita annuity,2015.0,-49.72100000000137,scheduled.dollar.change
Race Ethnicity,3.Hispanic,per capita annuity,2015.0,-37.007000000001426,scheduled.dollar.change
Race Ethnicity,4.Other,per capita annuity,2015.0,-32.596000000005006,scheduled.dollar.change
Marital Status,Married,per capita annuity,2015.0,-72.59700000000157,scheduled.dollar.change
Marital Status,Widowed,per capita annuity,2015.0,-65.60700000000361,scheduled.dollar.change
Marital Status,Divorced,per capita annuity,2015.0,-53.99300000000221,scheduled.dollar.change
Marital Status,Single,per capita annuity,2015.0,-69.42399999999907,scheduled.dollar.change
Shared Work Years,0-9,per capita annuity,2015.0,-0.44200000000091677,scheduled.dollar.change
Shared Work Years,10-14,per capita annuity,2015.0,-3.7439999999987776,scheduled.dollar.change
Shared Work Years,15-19,per capita annuity,2015.0,-20.14900000000125,scheduled.dollar.change
Shared Work Years,20-24,per capita annuity,2015.0,-42.362999999997555,scheduled.dollar.change
Shared Work Years,25-29,per capita annuity,2015.0,-35.42399999999907,scheduled.dollar.change
Shared Work Years,30-34,per capita annuity,2015.0,-54.89299999999639,scheduled.dollar.change
Shared Work Years,35-39,per capita annuity,2015.0,-64.7960000000021,scheduled.dollar.change
Shared Work Years,40+,per capita annuity,2015.0,-101.33200000000943,scheduled.dollar.change
Own Work Years,0-9,per capita annuity,2015.0,-11.028999999998632,scheduled.dollar.change
Own Work Years,10-14,per capita annuity,2015.0,-34.56200000000172,scheduled.dollar.change
Own Work Years,15-19,per capita annuity,2015.0,-33.16700000000128,scheduled.dollar.change
Own Work Years,20-24,per capita annuity,2015.0,-36.57800000000134,scheduled.dollar.change
Own Work Years,25-29,per capita annuity,2015.0,-37.82800000000134,scheduled.dollar.change
Own Work Years,30-34,per capita annuity,2015.0,-60.98099999999977,scheduled.dollar.change
Own Work Years,35-39,per capita annuity,2015.0,-44.80500000000029,scheduled.dollar.change
Own Work Years,40+,per capita annuity,2015.0,-99.04499999999825,scheduled.dollar.change
Shared Income Quintile,bottom quintile,per capita annuity,2015.0,-10.420000000000073,scheduled.dollar.change
Shared Income Quintile,2nd quintile,per capita annuity,2015.0,-47.306000000000495,scheduled.dollar.change
Shared Income Quintile,3rd quintile,per capita annuity,2015.0,-58.379000000000815,scheduled.dollar.change
Shared Income Quintile,4th quintile,per capita annuity,2015.0,-87.90799999999581,scheduled.dollar.change
Shared Income Quintile,top quintile,per capita annuity,2015.0,-129.80999999999767,scheduled.dollar.change
Shared Lifetime Earnings Quintile,bottom quintile,per capita annuity,2015.0,-12.645000000000437,scheduled.dollar.change
Shared Lifetime Earnings Quintile,2nd quintile,per capita annuity,2015.0,-43.836999999999534,scheduled.dollar.change
Shared Lifetime Earnings Quintile,3rd quintile,per capita annuity,2015.0,-63.01799999999639,scheduled.dollar.change
Shared Lifetime Earnings Quintile,4th quintile,per capita annuity,2015.0,-83.89100000000326,scheduled.dollar.change
Shared Lifetime Earnings Quintile,top quintile,per capita annuity,2015.0,-138.04200000000128,scheduled.dollar.change
Homeownership,Home Owner,per capita annuity,2015.0,-77.39800000000105,scheduled.dollar.change
Homeownership,Renter,per capita annuity,2015.0,-32.11200000000099,scheduled.dollar.change
Family Income Relative to Official Poverty,1.Less 100% of Poverty,per capita annuity,2015.0,-2.941000000000713,scheduled.dollar.change
Family Income Relative to Official Poverty,2.100-199% of Poverty,per capita annuity,2015.0,-9.295999999998457,scheduled.dollar.change
Family Income Relative to Official Poverty,3.200-399% of Poverty,per capita annuity,2015.0,43.66800000000512,scheduled.dollar.change
Family Income Relative to Official Poverty,4.400%+ of Poverty,per capita annuity,2015.0,-25.54200000000128,scheduled.dollar.change
Per Capita Retirement Account Assets ($2015),<0k,per capita annuity,2015.0,-43.66200000000026,scheduled.dollar.change
Per Capita Retirement Account Assets ($2015),0k -  5k,per capita annuity,2015.0,-65.541999999994,scheduled.dollar.change
Per Capita Retirement Account Assets ($2015),5k - 25k,per capita annuity,2015.0,-60.5,scheduled.dollar.change
Per Capita Retirement Account Assets ($2015),25k +,per capita annuity,2015.0,-89.9780000000028,scheduled.dollar.change
Per Capita Financial Assets ($2015),<0k,per capita annuity,2015.0,-13.38800000000083,scheduled.dollar.change
Per Capita Financial Assets ($2015),0k -  5k,per capita annuity,2015.0,-39.617999999998574,scheduled.dollar.change
Per Capita Financial Assets ($2015),5k - 25k,per capita annuity,2015.0,-48.046000000002095,scheduled.dollar.change
Per Capita Financial Assets ($2015),25k +,per capita annuity,2015.0,-91.45300000000861,scheduled.dollar.change
Per Capita Financial + Retirement Account Assets ($2015),<0k,per capita annuity,2015.0,-13.088999999999942,scheduled.dollar.change
Per Capita Financial + Retirement Account Assets ($2015),0k -  5k,per capita annuity,2015.0,-34.47099999999773,scheduled.dollar.change
Per Capita Financial + Retirement Account Assets ($2015),5k - 25k,per capita annuity,2015.0,-42.36499999999796,scheduled.dollar.change
Per Capita Financial + Retirement Account Assets ($2015),25k +,per capita annuity,2015.0,-83.42300000000978,scheduled.dollar.change
All,All,per capita cash,2015.0,-70.82800000000134,scheduled.dollar.change
Age,62-69,per capita cash,2015.0,-63.63900000000285,scheduled.dollar.change
Age,70-74,per capita cash,2015.0,-103.58699999999953,scheduled.dollar.change
Age,75-79,per capita cash,2015.0,-90.99799999999959,scheduled.dollar.change
Age,80-84,per capita cash,2015.0,-65.85299999999916,scheduled.dollar.change
Age,85+,per capita cash,2015.0,-16.608000000000175,scheduled.dollar.change
Sex,Female,per capita cash,2015.0,-64.6140000000014,scheduled.dollar.change
Sex,Male,per capita cash,2015.0,-78.34700000000157,scheduled.dollar.change
Education,1.High School Dropout,per capita cash,2015.0,-37.70799999999872,scheduled.dollar.change
Education,2.High School Graduate,per capita cash,2015.0,-69.77400000000125,scheduled.dollar.change
Education,3.Some College,per capita cash,2015.0,-68.96300000000338,scheduled.dollar.change
Education,4.College Graduate,per capita cash,2015.0,-94.2039999999979,scheduled.dollar.change
Race Ethnicity,1.White,per capita cash,2015.0,-80.87799999999697,scheduled.dollar.change
Race Ethnicity,2.Black,per capita cash,2015.0,-48.07300000000032,scheduled.dollar.change
Race Ethnicity,3.Hispanic,per capita cash,2015.0,-37.15899999999965,scheduled.dollar.change
Race Ethnicity,4.Other,per capita cash,2015.0,-29.62199999999939,scheduled.dollar.change
Marital Status,Married,per capita cash,2015.0,-76.02799999999843,scheduled.dollar.change
Marital Status,Widowed,per capita cash,2015.0,-66.24200000000565,scheduled.dollar.change
Marital Status,Divorced,per capita cash,2015.0,-54.84000000000378,scheduled.dollar.change
Marital Status,Single,per capita cash,2015.0,-74.06899999999587,scheduled.dollar.change
Shared Work Years,0-9,per capita cash,2015.0,-0.4420000000000073,scheduled.dollar.change
Shared Work Years,10-14,per capita cash,2015.0,-3.743000000000393,scheduled.dollar.change
Shared Work Years,15-19,per capita cash,2015.0,-20.001000000000204,scheduled.dollar.change
Shared Work Years,20-24,per capita cash,2015.0,-34.99300000000221,scheduled.dollar.change
Shared Work Years,25-29,per capita cash,2015.0,-41.78199999999924,scheduled.dollar.change
Shared Work Years,30-34,per capita cash,2015.0,-43.16699999999764,scheduled.dollar.change
Shared Work Years,35-39,per capita cash,2015.0,-56.450000000004366,scheduled.dollar.change
Shared Work Years,40+,per capita cash,2015.0,-114.0370000000039,scheduled.dollar.change
Own Work Years,0-9,per capita cash,2015.0,-10.667999999999665,scheduled.dollar.change
Own Work Years,10-14,per capita cash,2015.0,-30.394000000000233,scheduled.dollar.change
Own Work Years,15-19,per capita cash,2015.0,-38.08799999999974,scheduled.dollar.change
Own Work Years,20-24,per capita cash,2015.0,-36.578999999997905,scheduled.dollar.change
Own Work Years,25-29,per capita cash,2015.0,-25.454000000001543,scheduled.dollar.change
Own Work Years,30-34,per capita cash,2015.0,-77.93899999999849,scheduled.dollar.change
Own Work Years,35-39,per capita cash,2015.0,-52.88500000000204,scheduled.dollar.change
Own Work Years,40+,per capita cash,2015.0,-100.8269999999975,scheduled.dollar.change
Shared Income Quintile,bottom quintile,per capita cash,2015.0,-7.144000000000233,scheduled.dollar.change
Shared Income Quintile,2nd quintile,per capita cash,2015.0,-55.10100000000239,scheduled.dollar.change
Shared Income Quintile,3rd quintile,per capita cash,2015.0,-56.224999999998545,scheduled.dollar.change
Shared Income Quintile,4th quintile,per capita cash,2015.0,-121.12199999999575,scheduled.dollar.change
Shared Income Quintile,top quintile,per capita cash,2015.0,-109.74199999999837,scheduled.dollar.change
Shared Lifetime Earnings Quintile,bottom quintile,per capita cash,2015.0,-11.761999999998807,scheduled.dollar.change
Shared Lifetime Earnings Quintile,2nd quintile,per capita cash,2015.0,-46.34600000000137,scheduled.dollar.change
Shared Lifetime Earnings Quintile,3rd quintile,per capita cash,2015.0,-70.49799999999959,scheduled.dollar.change
Shared Lifetime Earnings Quintile,4th quintile,per capita cash,2015.0,-85.08600000000297,scheduled.dollar.change
Shared Lifetime Earnings Quintile,top quintile,per capita cash,2015.0,-140.46100000001024,scheduled.dollar.change
Homeownership,Home Owner,per capita cash,2015.0,-81.03800000000047,scheduled.dollar.change
Homeownership,Renter,per capita cash,2015.0,-30.306000000000495,scheduled.dollar.change
Family Income Relative to Official Poverty,1.Less 100% of Poverty,per capita cash,2015.0,1.1489999999994325,scheduled.dollar.change
Family Income Relative to Official Poverty,2.100-199% of Poverty,per capita cash,2015.0,-5.463999999999942,scheduled.dollar.change
Family Income Relative to Official Poverty,3.200-399% of Poverty,per capita cash,2015.0,-11.406999999999243,scheduled.dollar.change
Family Income Relative to Official Poverty,4.400%+ of Poverty,per capita cash,2015.0,-49.48099999999977,scheduled.dollar.change
Per Capita Retirement Account Assets ($2015),<0k,per capita cash,2015.0,-43.79699999999866,scheduled.dollar.change
Per Capita Retirement Account Assets ($2015),0k -  5k,per capita cash,2015.0,-61.88699999999881,scheduled.dollar.change
Per Capita Retirement Account Assets ($2015),5k - 25k,per capita cash,2015.0,-60.697000000000116,scheduled.dollar.change
Per Capita Retirement Account Assets ($2015),25k +,per capita cash,2015.0,-95.62200000000303,scheduled.dollar.change
Per Capita Financial Assets ($2015),<0k,per capita cash,2015.0,-20.24699999999939,scheduled.dollar.change
Per Capita Financial Assets ($2015),0k -  5k,per capita cash,2015.0,-39.71399999999994,scheduled.dollar.change
Per Capita Financial Assets ($2015),5k - 25k,per capita cash,2015.0,-46.63600000000224,scheduled.dollar.change
Per Capita Financial Assets ($2015),25k +,per capita cash,2015.0,-95.64800000000105,scheduled.dollar.change
Per Capita Financial + Retirement Account Assets ($2015),<0k,per capita cash,2015.0,-20.381999999999607,scheduled.dollar.change
