category,group,year,option,scale,baseline,Average annuity income,Average cash income,Average net annuity income,Average net cash income
Financial + Retirement Account Assets ($2015),0k -  5k,2015,"$150,000 tax max",per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,"$150,000 tax max",per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,"$180,000 tax max",equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,"$180,000 tax max",equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,"$180,000 tax max",per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,"$180,000 tax max",per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,13.4% payroll tax,equivalent,Payable law,21151.077,19027.954,18872.215,16749.093
Financial + Retirement Account Assets ($2015),0k -  5k,2015,13.4% payroll tax,equivalent,Scheduled law,21151.077,19027.954,18872.215,16749.093
Financial + Retirement Account Assets ($2015),0k -  5k,2015,13.4% payroll tax,per capita,Payable law,19010.375,17183.378,16759.941,14932.944
Financial + Retirement Account Assets ($2015),0k -  5k,2015,13.4% payroll tax,per capita,Scheduled law,19010.375,17183.378,16759.941,14932.944
Financial + Retirement Account Assets ($2015),0k -  5k,2015,14.4% payroll tax,equivalent,Payable law,21151.084,19027.962,18872.223,16749.101
Financial + Retirement Account Assets ($2015),0k -  5k,2015,14.4% payroll tax,equivalent,Scheduled law,21151.084,19027.962,18872.223,16749.101
Financial + Retirement Account Assets ($2015),0k -  5k,2015,14.4% payroll tax,per capita,Payable law,19010.382,17183.385,16759.948,14932.951
Financial + Retirement Account Assets ($2015),0k -  5k,2015,14.4% payroll tax,per capita,Scheduled law,19010.382,17183.385,16759.948,14932.951
Financial + Retirement Account Assets ($2015),0k -  5k,2015,15.4% payroll tax,equivalent,Payable law,21172.987,19024.968,18894.227,16746.208
Financial + Retirement Account Assets ($2015),0k -  5k,2015,15.4% payroll tax,equivalent,Scheduled law,21172.987,19024.968,18894.227,16746.208
Financial + Retirement Account Assets ($2015),0k -  5k,2015,15.4% payroll tax,per capita,Payable law,18992.978,17158.769,16746.248,14912.038
Financial + Retirement Account Assets ($2015),0k -  5k,2015,15.4% payroll tax,per capita,Scheduled law,18992.978,17158.769,16746.248,14912.038
Financial + Retirement Account Assets ($2015),0k -  5k,2015,75% survivor benefit,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,75% survivor benefit,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,75% survivor benefit,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,75% survivor benefit,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,90% tax max,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,90% tax max,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,90% tax max,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,90% tax max,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,90% tax max and 13.4% payroll tax,equivalent,Payable law,21151.077,19027.954,18872.215,16749.093
Financial + Retirement Account Assets ($2015),0k -  5k,2015,90% tax max and 13.4% payroll tax,equivalent,Scheduled law,21151.077,19027.954,18872.215,16749.093
Financial + Retirement Account Assets ($2015),0k -  5k,2015,90% tax max and 13.4% payroll tax,per capita,Payable law,19010.375,17183.378,16759.941,14932.944
Financial + Retirement Account Assets ($2015),0k -  5k,2015,90% tax max and 13.4% payroll tax,per capita,Scheduled law,19010.375,17183.378,16759.941,14932.944
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Annual primary insurance amount,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Annual primary insurance amount,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Annual primary insurance amount,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Annual primary insurance amount,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Basic minimum benefit,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Basic minimum benefit,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Basic minimum benefit,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Basic minimum benefit,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Bipartisan Policy Center package,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Bipartisan Policy Center package,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Bipartisan Policy Center package,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Bipartisan Policy Center package,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Cap COLA,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Cap COLA,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Cap COLA,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Cap COLA,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Cap spouse benefits,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Cap spouse benefits,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Cap spouse benefits,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Cap spouse benefits,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Chained-CPI COLA,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Chained-CPI COLA,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Chained-CPI COLA,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Chained-CPI COLA,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Eliminate the tax max,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Eliminate the tax max,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Eliminate the tax max,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Eliminate the tax max,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase benefits taxation,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase benefits taxation,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase benefits taxation,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase benefits taxation,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase COLA,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase COLA,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase COLA,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase COLA,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase FRA,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase FRA,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase FRA,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase FRA,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase FRA and EEA,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase FRA and EEA,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase FRA and EEA,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Increase FRA and EEA,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Payable law,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Payable law,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Payable law,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Payable law,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Reduce COLA,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Reduce COLA,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Reduce COLA,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Reduce COLA,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Scheduled law,equivalent,Payable law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Scheduled law,equivalent,Scheduled law,21151.069,19027.947,18872.207,16749.085
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Scheduled law,per capita,Payable law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2015,Scheduled law,per capita,Scheduled law,19010.368,17183.371,16759.934,14932.937
Financial + Retirement Account Assets ($2015),0k -  5k,2025,"$150,000 tax max",equivalent,Payable law,21754.985,19633.045,18946.929,16824.989
Financial + Retirement Account Assets ($2015),0k -  5k,2025,"$150,000 tax max",equivalent,Scheduled law,21754.985,19633.045,18946.929,16824.989
Financial + Retirement Account Assets ($2015),0k -  5k,2025,"$150,000 tax max",per capita,Payable law,19106.081,17261.846,16362.776,14518.541
Financial + Retirement Account Assets ($2015),0k -  5k,2025,"$150,000 tax max",per capita,Scheduled law,19106.081,17261.846,16362.776,14518.541
Financial + Retirement Account Assets ($2015),0k -  5k,2025,"$180,000 tax max",equivalent,Payable law,21755.077,19633.137,18947.021,16825.081
Financial + Retirement Account Assets ($2015),0k -  5k,2025,"$180,000 tax max",equivalent,Scheduled law,21755.077,19633.137,18947.021,16825.081
Financial + Retirement Account Assets ($2015),0k -  5k,2025,"$180,000 tax max",per capita,Payable law,19106.172,17261.937,16362.866,14518.631
Financial + Retirement Account Assets ($2015),0k -  5k,2025,"$180,000 tax max",per capita,Scheduled law,19106.172,17261.937,16362.866,14518.631
Financial + Retirement Account Assets ($2015),0k -  5k,2025,13.4% payroll tax,equivalent,Payable law,21748.443,19626.36,18925.588,16803.506
Financial + Retirement Account Assets ($2015),0k -  5k,2025,13.4% payroll tax,equivalent,Scheduled law,21748.443,19626.36,18925.588,16803.506
Financial + Retirement Account Assets ($2015),0k -  5k,2025,13.4% payroll tax,per capita,Payable law,19100.025,17255.857,16343.141,14498.973
Financial + Retirement Account Assets ($2015),0k -  5k,2025,13.4% payroll tax,per capita,Scheduled law,19100.025,17255.857,16343.141,14498.973
Financial + Retirement Account Assets ($2015),0k -  5k,2025,14.4% payroll tax,equivalent,Payable law,21729.82,19607.737,18892.174,16770.092
Financial + Retirement Account Assets ($2015),0k -  5k,2025,14.4% payroll tax,equivalent,Scheduled law,21729.82,19607.737,18892.174,16770.092
Financial + Retirement Account Assets ($2015),0k -  5k,2025,14.4% payroll tax,per capita,Payable law,19083.085,17238.918,16312.72,14468.552
Financial + Retirement Account Assets ($2015),0k -  5k,2025,14.4% payroll tax,per capita,Scheduled law,19083.085,17238.918,16312.72,14468.552
Financial + Retirement Account Assets ($2015),0k -  5k,2025,15.4% payroll tax,equivalent,Payable law,21753.883,19623.742,18896.357,16766.215
Financial + Retirement Account Assets ($2015),0k -  5k,2025,15.4% payroll tax,equivalent,Scheduled law,21753.883,19623.742,18896.357,16766.215
Financial + Retirement Account Assets ($2015),0k -  5k,2025,15.4% payroll tax,per capita,Payable law,19107.463,17255.911,16319.71,14468.158
Financial + Retirement Account Assets ($2015),0k -  5k,2025,15.4% payroll tax,per capita,Scheduled law,19107.463,17255.911,16319.71,14468.158
Financial + Retirement Account Assets ($2015),0k -  5k,2025,75% survivor benefit,equivalent,Payable law,21725.126,19603.186,18918.373,16796.433
Financial + Retirement Account Assets ($2015),0k -  5k,2025,75% survivor benefit,equivalent,Scheduled law,21725.126,19603.186,18918.373,16796.433
Financial + Retirement Account Assets ($2015),0k -  5k,2025,75% survivor benefit,per capita,Payable law,19077.955,17233.72,16335.971,14491.736
Financial + Retirement Account Assets ($2015),0k -  5k,2025,75% survivor benefit,per capita,Scheduled law,19077.955,17233.72,16335.971,14491.736
Financial + Retirement Account Assets ($2015),0k -  5k,2025,90% tax max,equivalent,Payable law,21755.088,19633.148,18947.032,16825.092
Financial + Retirement Account Assets ($2015),0k -  5k,2025,90% tax max,equivalent,Scheduled law,21755.088,19633.148,18947.032,16825.092
Financial + Retirement Account Assets ($2015),0k -  5k,2025,90% tax max,per capita,Payable law,19106.204,17261.969,16362.896,14518.661
Financial + Retirement Account Assets ($2015),0k -  5k,2025,90% tax max,per capita,Scheduled law,19106.204,17261.969,16362.896,14518.661
Financial + Retirement Account Assets ($2015),0k -  5k,2025,90% tax max and 13.4% payroll tax,equivalent,Payable law,21748.762,19626.679,18925.908,16803.825
Financial + Retirement Account Assets ($2015),0k -  5k,2025,90% tax max and 13.4% payroll tax,equivalent,Scheduled law,21748.762,19626.679,18925.908,16803.825
Financial + Retirement Account Assets ($2015),0k -  5k,2025,90% tax max and 13.4% payroll tax,per capita,Payable law,19100.352,17256.184,16343.462,14499.294
Financial + Retirement Account Assets ($2015),0k -  5k,2025,90% tax max and 13.4% payroll tax,per capita,Scheduled law,19100.352,17256.184,16343.462,14499.294
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Annual primary insurance amount,equivalent,Payable law,21762.395,19640.455,18954.038,16832.098
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Annual primary insurance amount,equivalent,Scheduled law,21762.395,19640.455,18954.038,16832.098
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Annual primary insurance amount,per capita,Payable law,19112.586,17268.351,16368.956,14524.721
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Annual primary insurance amount,per capita,Scheduled law,19112.586,17268.351,16368.956,14524.721
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Basic minimum benefit,equivalent,Payable law,22233.445,20111.434,19424.66,17302.649
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Basic minimum benefit,equivalent,Scheduled law,22233.445,20111.434,19424.66,17302.649
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Basic minimum benefit,per capita,Payable law,19532.128,17687.83,16788.176,14943.878
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Basic minimum benefit,per capita,Scheduled law,19532.128,17687.83,16788.176,14943.878
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Bipartisan Policy Center package,equivalent,Payable law,21059.247,19082.211,18336.768,16359.732
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Bipartisan Policy Center package,equivalent,Scheduled law,21059.247,19082.211,18336.768,16359.732
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Bipartisan Policy Center package,per capita,Payable law,18609.262,16865.872,15949.478,14206.088
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Bipartisan Policy Center package,per capita,Scheduled law,18609.262,16865.872,15949.478,14206.088
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Cap COLA,equivalent,Payable law,21722.114,19600.174,18914.873,16792.933
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Cap COLA,equivalent,Scheduled law,21722.114,19600.174,18914.873,16792.933
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Cap COLA,per capita,Payable law,19077.292,17233.057,16334.752,14490.517
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Cap COLA,per capita,Scheduled law,19077.292,17233.057,16334.752,14490.517
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Cap spouse benefits,equivalent,Payable law,21754.762,19632.823,18881.438,16759.498
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Cap spouse benefits,equivalent,Scheduled law,21754.762,19632.823,18881.438,16759.498
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Cap spouse benefits,per capita,Payable law,19092.764,17248.529,16350.057,14505.822
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Cap spouse benefits,per capita,Scheduled law,19092.764,17248.529,16350.057,14505.822
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Chained-CPI COLA,equivalent,Payable law,21476.481,19354.597,18671.161,16549.276
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Chained-CPI COLA,equivalent,Scheduled law,21476.481,19354.597,18671.161,16549.276
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Chained-CPI COLA,per capita,Payable law,18864.079,17019.894,16123.292,14279.107
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Chained-CPI COLA,per capita,Scheduled law,18864.079,17019.894,16123.292,14279.107
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Eliminate the tax max,equivalent,Payable law,21755.203,19633.263,18947.147,16825.207
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Eliminate the tax max,equivalent,Scheduled law,21755.203,19633.263,18947.147,16825.207
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Eliminate the tax max,per capita,Payable law,19106.369,17262.133,16363.052,14518.817
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Eliminate the tax max,per capita,Scheduled law,19106.369,17262.133,16363.052,14518.817
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase benefits taxation,equivalent,Payable law,21738.821,19616.881,18931.711,16809.771
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase benefits taxation,equivalent,Scheduled law,21738.821,19616.881,18931.711,16809.771
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase benefits taxation,per capita,Payable law,19105.873,17261.638,16307.803,14463.568
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase benefits taxation,per capita,Scheduled law,19105.873,17261.638,16307.803,14463.568
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase COLA,equivalent,Payable law,21955.695,19833.688,19145.648,17023.641
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase COLA,equivalent,Scheduled law,21955.695,19833.688,19145.648,17023.641
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase COLA,per capita,Payable law,19280.749,17436.454,16535.614,14691.319
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase COLA,per capita,Scheduled law,19280.749,17436.454,16535.614,14691.319
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase FRA,equivalent,Payable law,21753.87,19631.93,18945.838,16823.898
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase FRA,equivalent,Scheduled law,21753.87,19631.93,18945.838,16823.898
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase FRA,per capita,Payable law,19105.148,17260.913,16361.868,14517.633
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase FRA,per capita,Scheduled law,19105.148,17260.913,16361.868,14517.633
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase FRA and EEA,equivalent,Payable law,21757.203,19635.263,18948.509,16826.569
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase FRA and EEA,equivalent,Scheduled law,21757.203,19635.263,18948.509,16826.569
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase FRA and EEA,per capita,Payable law,19108.311,17264.076,16364.44,14520.205
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Increase FRA and EEA,per capita,Scheduled law,19108.311,17264.076,16364.44,14520.205
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Payable law,equivalent,Payable law,21754.762,19632.823,18946.706,16824.766
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Payable law,equivalent,Scheduled law,21754.762,19632.823,18946.706,16824.766
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Payable law,per capita,Payable law,19105.873,17261.638,16362.569,14518.334
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Payable law,per capita,Scheduled law,19105.873,17261.638,16362.569,14518.334
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Reduce COLA,equivalent,Payable law,21458.826,19336.941,18653.696,16531.812
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Reduce COLA,equivalent,Scheduled law,21458.826,19336.941,18653.696,16531.812
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Reduce COLA,per capita,Payable law,18848.334,17004.149,16107.727,14263.541
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Reduce COLA,per capita,Scheduled law,18848.334,17004.149,16107.727,14263.541
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Scheduled law,equivalent,Payable law,21754.762,19632.823,18946.706,16824.766
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Scheduled law,equivalent,Scheduled law,21754.762,19632.823,18946.706,16824.766
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Scheduled law,per capita,Payable law,19105.873,17261.638,16362.569,14518.334
Financial + Retirement Account Assets ($2015),0k -  5k,2025,Scheduled law,per capita,Scheduled law,19105.873,17261.638,16362.569,14518.334
Financial + Retirement Account Assets ($2015),0k -  5k,2035,"$150,000 tax max",equivalent,Payable law,21682.681,19130.874,18302.04,15750.233
Financial + Retirement Account Assets ($2015),0k -  5k,2035,"$150,000 tax max",equivalent,Scheduled law,21682.681,19130.874,18302.04,15750.233
Financial + Retirement Account Assets ($2015),0k -  5k,2035,"$150,000 tax max",per capita,Payable law,19236.362,16990.467,15922.252,13676.357
Financial + Retirement Account Assets ($2015),0k -  5k,2035,"$150,000 tax max",per capita,Scheduled law,19236.362,16990.467,15922.252,13676.357
Financial + Retirement Account Assets ($2015),0k -  5k,2035,"$180,000 tax max",equivalent,Payable law,21683.508,19131.701,18302.81,15751.003
Financial + Retirement Account Assets ($2015),0k -  5k,2035,"$180,000 tax max",equivalent,Scheduled law,21683.508,19131.701,18302.81,15751.003
Financial + Retirement Account Assets ($2015),0k -  5k,2035,"$180,000 tax max",per capita,Payable law,19237.356,16991.461,15923.16,13677.265
Financial + Retirement Account Assets ($2015),0k -  5k,2035,"$180,000 tax max",per capita,Scheduled law,19237.356,16991.461,15923.16,13677.265
Financial + Retirement Account Assets ($2015),0k -  5k,2035,13.4% payroll tax,equivalent,Payable law,21726.308,19172.334,18319.346,15765.372
Financial + Retirement Account Assets ($2015),0k -  5k,2035,13.4% payroll tax,equivalent,Scheduled law,21726.308,19172.334,18319.346,15765.372
Financial + Retirement Account Assets ($2015),0k -  5k,2035,13.4% payroll tax,per capita,Payable law,19215.79,16971.767,15889.052,13645.029
Financial + Retirement Account Assets ($2015),0k -  5k,2035,13.4% payroll tax,per capita,Scheduled law,19215.79,16971.767,15889.052,13645.029
Financial + Retirement Account Assets ($2015),0k -  5k,2035,14.4% payroll tax,equivalent,Payable law,21705.213,19151.247,18284.481,15730.514
Financial + Retirement Account Assets ($2015),0k -  5k,2035,14.4% payroll tax,equivalent,Scheduled law,21705.213,19151.247,18284.481,15730.514
Financial + Retirement Account Assets ($2015),0k -  5k,2035,14.4% payroll tax,per capita,Payable law,19196.637,16952.622,15855.776,13611.761
Financial + Retirement Account Assets ($2015),0k -  5k,2035,14.4% payroll tax,per capita,Scheduled law,19196.637,16952.622,15855.776,13611.761
Financial + Retirement Account Assets ($2015),0k -  5k,2035,15.4% payroll tax,equivalent,Payable law,21614.799,19050.936,18209.05,15645.187
Financial + Retirement Account Assets ($2015),0k -  5k,2035,15.4% payroll tax,equivalent,Scheduled law,21614.799,19050.936,18209.05,15645.187
Financial + Retirement Account Assets ($2015),0k -  5k,2035,15.4% payroll tax,per capita,Payable law,19138.827,16881.839,15802.715,13545.728
Financial + Retirement Account Assets ($2015),0k -  5k,2035,15.4% payroll tax,per capita,Scheduled law,19138.827,16881.839,15802.715,13545.728
Financial + Retirement Account Assets ($2015),0k -  5k,2035,75% survivor benefit,equivalent,Payable law,21522.689,18970.882,18147.295,15595.488
Financial + Retirement Account Assets ($2015),0k -  5k,2035,75% survivor benefit,equivalent,Scheduled law,21522.689,18970.882,18147.295,15595.488
Financial + Retirement Account Assets ($2015),0k -  5k,2035,75% survivor benefit,per capita,Payable law,19078.738,16832.843,15770.04,13524.145
Financial + Retirement Account Assets ($2015),0k -  5k,2035,75% survivor benefit,per capita,Scheduled law,19078.738,16832.843,15770.04,13524.145
Financial + Retirement Account Assets ($2015),0k -  5k,2035,90% tax max,equivalent,Payable law,21684.421,19132.614,18303.66,15751.853
Financial + Retirement Account Assets ($2015),0k -  5k,2035,90% tax max,equivalent,Scheduled law,21684.421,19132.614,18303.66,15751.853
Financial + Retirement Account Assets ($2015),0k -  5k,2035,90% tax max,per capita,Payable law,19238.687,16992.792,15924.388,13678.494
Financial + Retirement Account Assets ($2015),0k -  5k,2035,90% tax max,per capita,Scheduled law,19238.687,16992.792,15924.388,13678.494
Financial + Retirement Account Assets ($2015),0k -  5k,2035,90% tax max and 13.4% payroll tax,equivalent,Payable law,21729.811,19175.837,18322.616,15768.642
Financial + Retirement Account Assets ($2015),0k -  5k,2035,90% tax max and 13.4% payroll tax,equivalent,Scheduled law,21729.811,19175.837,18322.616,15768.642
Financial + Retirement Account Assets ($2015),0k -  5k,2035,90% tax max and 13.4% payroll tax,per capita,Payable law,19219.399,16975.377,15892.113,13648.091
