"category","group","measure","year","value"
"Shared Work Years","35-39","net per capita cash",2025,-362
"Shared Work Years","40+","net per capita cash",2025,-495
"Own Work Years","0-9","net per capita cash",2025,-31
"Own Work Years","10-14","net per capita cash",2025,161
"Own Work Years","15-19","net per capita cash",2025,225
"Own Work Years","20-24","net per capita cash",2025,-24
"Own Work Years","25-29","net per capita cash",2025,-77
"Own Work Years","30-34","net per capita cash",2025,-242
"Own Work Years","35-39","net per capita cash",2025,-327
"Own Work Years","40+","net per capita cash",2025,-484
"Shared Income Quintile","bottom quintile","net per capita cash",2025,354
"Shared Income Quintile","2nd quintile","net per capita cash",2025,-338
"Shared Income Quintile","3rd quintile","net per capita cash",2025,-371
"Shared Income Quintile","4th quintile","net per capita cash",2025,-527
"Shared Income Quintile","top quintile","net per capita cash",2025,-707
"Shared Lifetime Earnings Quintile","bottom quintile","net per capita cash",2025,317
"Shared Lifetime Earnings Quintile","2nd quintile","net per capita cash",2025,-278
"Shared Lifetime Earnings Quintile","3rd quintile","net per capita cash",2025,-405
"Shared Lifetime Earnings Quintile","4th quintile","net per capita cash",2025,-479
"Shared Lifetime Earnings Quintile","top quintile","net per capita cash",2025,-744
"Homeownership","Home Owner","net per capita cash",2025,-427
"Homeownership","Renter","net per capita cash",2025,107
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","net per capita cash",2025,82
"Family Income Relative to Official Poverty","2.100-199% of Poverty","net per capita cash",2025,-148
"Family Income Relative to Official Poverty","3.200-399% of Poverty","net per capita cash",2025,-120
"Family Income Relative to Official Poverty","4.400%+ of Poverty","net per capita cash",2025,-257
"Per Capita Retirement Account Assets ($2015)","<0k","net per capita cash",2025,-894
"Per Capita Retirement Account Assets ($2015)","0k -  5k","net per capita cash",2025,-1415
"Per Capita Retirement Account Assets ($2015)","5k - 25k","net per capita cash",2025,-34
"Per Capita Retirement Account Assets ($2015)","25k +","net per capita cash",2025,-587
"Per Capita Financial Assets ($2015)","<0k","net per capita cash",2025,-226
"Per Capita Financial Assets ($2015)","0k -  5k","net per capita cash",2025,-159
"Per Capita Financial Assets ($2015)","5k - 25k","net per capita cash",2025,-211
"Per Capita Financial Assets ($2015)","25k +","net per capita cash",2025,-440
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","net per capita cash",2025,-438
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","net per capita cash",2025,-407
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","net per capita cash",2025,-123
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","net per capita cash",2025,-469
"All","All","per capita annuity",2035,-911
"Age","62-69","per capita annuity",2035,-1022
"Age","70-74","per capita annuity",2035,-1233
"Age","75-79","per capita annuity",2035,-656
"Age","80-84","per capita annuity",2035,-693
"Age","85+","per capita annuity",2035,-659
"Sex","Female","per capita annuity",2035,-819
"Sex","Male","per capita annuity",2035,-1016
"Education","1.High School Dropout","per capita annuity",2035,-78
"Education","2.High School Graduate","per capita annuity",2035,-669
"Education","3.Some College","per capita annuity",2035,-963
"Education","4.College Graduate","per capita annuity",2035,-1451
"Race Ethnicity","1.White","per capita annuity",2035,-1143
"Race Ethnicity","2.Black","per capita annuity",2035,-451
"Race Ethnicity","3.Hispanic","per capita annuity",2035,-299
"Race Ethnicity","4.Other","per capita annuity",2035,-666
"Marital Status","Married","per capita annuity",2035,-1503
"Marital Status","Widowed","per capita annuity",2035,-361
"Marital Status","Divorced","per capita annuity",2035,-162
"Marital Status","Single","per capita annuity",2035,111
"Shared Work Years","0-9","per capita annuity",2035,27
"Shared Work Years","10-14","per capita annuity",2035,457
"Shared Work Years","15-19","per capita annuity",2035,57
"Shared Work Years","20-24","per capita annuity",2035,-372
"Shared Work Years","25-29","per capita annuity",2035,-691
"Shared Work Years","30-34","per capita annuity",2035,-908
"Shared Work Years","35-39","per capita annuity",2035,-909
"Shared Work Years","40+","per capita annuity",2035,-1172
"Own Work Years","0-9","per capita annuity",2035,-325
"Own Work Years","10-14","per capita annuity",2035,-241
"Own Work Years","15-19","per capita annuity",2035,-312
"Own Work Years","20-24","per capita annuity",2035,-433
"Own Work Years","25-29","per capita annuity",2035,-474
"Own Work Years","30-34","per capita annuity",2035,-624
"Own Work Years","35-39","per capita annuity",2035,-734
"Own Work Years","40+","per capita annuity",2035,-1186
"Shared Income Quintile","bottom quintile","per capita annuity",2035,376
"Shared Income Quintile","2nd quintile","per capita annuity",2035,-646
"Shared Income Quintile","3rd quintile","per capita annuity",2035,-1048
"Shared Income Quintile","4th quintile","per capita annuity",2035,-1396
"Shared Income Quintile","top quintile","per capita annuity",2035,-1858
"Shared Lifetime Earnings Quintile","bottom quintile","per capita annuity",2035,449
"Shared Lifetime Earnings Quintile","2nd quintile","per capita annuity",2035,-552
"Shared Lifetime Earnings Quintile","3rd quintile","per capita annuity",2035,-985
"Shared Lifetime Earnings Quintile","4th quintile","per capita annuity",2035,-1474
"Shared Lifetime Earnings Quintile","top quintile","per capita annuity",2035,-1993
"Homeownership","Home Owner","per capita annuity",2035,-1188
"Homeownership","Renter","per capita annuity",2035,104
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","per capita annuity",2035,341
"Family Income Relative to Official Poverty","2.100-199% of Poverty","per capita annuity",2035,-269
"Family Income Relative to Official Poverty","3.200-399% of Poverty","per capita annuity",2035,76
"Family Income Relative to Official Poverty","4.400%+ of Poverty","per capita annuity",2035,418
"Per Capita Retirement Account Assets ($2015)","<0k","per capita annuity",2035,-3167
"Per Capita Retirement Account Assets ($2015)","0k -  5k","per capita annuity",2035,-6417
"Per Capita Retirement Account Assets ($2015)","5k - 25k","per capita annuity",2035,-4083
"Per Capita Retirement Account Assets ($2015)","25k +","per capita annuity",2035,-4053
"Per Capita Financial Assets ($2015)","<0k","per capita annuity",2035,-831
"Per Capita Financial Assets ($2015)","0k -  5k","per capita annuity",2035,-552
"Per Capita Financial Assets ($2015)","5k - 25k","per capita annuity",2035,-543
"Per Capita Financial Assets ($2015)","25k +","per capita annuity",2035,-1082
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","per capita annuity",2035,-1908
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","per capita annuity",2035,-1354
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","per capita annuity",2035,-1995
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","per capita annuity",2035,-2159
"All","All","per capita cash",2035,-1081
"Age","62-69","per capita cash",2035,-1459
"Age","70-74","per capita cash",2035,-1308
"Age","75-79","per capita cash",2035,-673
"Age","80-84","per capita cash",2035,-681
"Age","85+","per capita cash",2035,-683
"Sex","Female","per capita cash",2035,-979
"Sex","Male","per capita cash",2035,-1198
"Education","1.High School Dropout","per capita cash",2035,-164
"Education","2.High School Graduate","per capita cash",2035,-795
"Education","3.Some College","per capita cash",2035,-1119
"Education","4.College Graduate","per capita cash",2035,-1708
"Race Ethnicity","1.White","per capita cash",2035,-1309
"Race Ethnicity","2.Black","per capita cash",2035,-595
"Race Ethnicity","3.Hispanic","per capita cash",2035,-483
"Race Ethnicity","4.Other","per capita cash",2035,-888
"Marital Status","Married","per capita cash",2035,-1695
"Marital Status","Widowed","per capita cash",2035,-385
"Marital Status","Divorced","per capita cash",2035,-428
"Marital Status","Single","per capita cash",2035,-95
"Shared Work Years","0-9","per capita cash",2035,27
"Shared Work Years","10-14","per capita cash",2035,393
"Shared Work Years","15-19","per capita cash",2035,-47
"Shared Work Years","20-24","per capita cash",2035,-500
"Shared Work Years","25-29","per capita cash",2035,-799
"Shared Work Years","30-34","per capita cash",2035,-1043
"Shared Work Years","35-39","per capita cash",2035,-1103
"Shared Work Years","40+","per capita cash",2035,-1374
"Own Work Years","0-9","per capita cash",2035,-342
"Own Work Years","10-14","per capita cash",2035,-287
"Own Work Years","15-19","per capita cash",2035,-418
"Own Work Years","20-24","per capita cash",2035,-583
"Own Work Years","25-29","per capita cash",2035,-620
"Own Work Years","30-34","per capita cash",2035,-778
"Own Work Years","35-39","per capita cash",2035,-905
"Own Work Years","40+","per capita cash",2035,-1388
"Shared Income Quintile","bottom quintile","per capita cash",2035,465
"Shared Income Quintile","2nd quintile","per capita cash",2035,-808
"Shared Income Quintile","3rd quintile","per capita cash",2035,-1222
"Shared Income Quintile","4th quintile","per capita cash",2035,-1601
"Shared Income Quintile","top quintile","per capita cash",2035,-2250
"Shared Lifetime Earnings Quintile","bottom quintile","per capita cash",2035,408
"Shared Lifetime Earnings Quintile","2nd quintile","per capita cash",2035,-671
"Shared Lifetime Earnings Quintile","3rd quintile","per capita cash",2035,-1144
"Shared Lifetime Earnings Quintile","4th quintile","per capita cash",2035,-1665
"Shared Lifetime Earnings Quintile","top quintile","per capita cash",2035,-2334
"Homeownership","Home Owner","per capita cash",2035,-1370
"Homeownership","Renter","per capita cash",2035,-23
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","per capita cash",2035,-732
"Family Income Relative to Official Poverty","2.100-199% of Poverty","per capita cash",2035,-191
"Family Income Relative to Official Poverty","3.200-399% of Poverty","per capita cash",2035,-425
"Family Income Relative to Official Poverty","4.400%+ of Poverty","per capita cash",2035,-365
"Per Capita Retirement Account Assets ($2015)","<0k","per capita cash",2035,-3112
"Per Capita Retirement Account Assets ($2015)","0k -  5k","per capita cash",2035,-4339
"Per Capita Retirement Account Assets ($2015)","5k - 25k","per capita cash",2035,-2784
"Per Capita Retirement Account Assets ($2015)","25k +","per capita cash",2035,-2671
"Per Capita Financial Assets ($2015)","<0k","per capita cash",2035,-817
"Per Capita Financial Assets ($2015)","0k -  5k","per capita cash",2035,-415
"Per Capita Financial Assets ($2015)","5k - 25k","per capita cash",2035,-642
"Per Capita Financial Assets ($2015)","25k +","per capita cash",2035,-1458
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","per capita cash",2035,-1752
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","per capita cash",2035,-1176
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","per capita cash",2035,-1879
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","per capita cash",2035,-1765
"All","All","net per capita annuity",2035,-795
"Age","62-69","net per capita annuity",2035,-880
"Age","70-74","net per capita annuity",2035,-1050
"Age","75-79","net per capita annuity",2035,-598
"Age","80-84","net per capita annuity",2035,-627
"Age","85+","net per capita annuity",2035,-590
"Sex","Female","net per capita annuity",2035,-715
"Sex","Male","net per capita annuity",2035,-886
"Education","1.High School Dropout","net per capita annuity",2035,-49
"Education","2.High School Graduate","net per capita annuity",2035,-599
"Education","3.Some College","net per capita annuity",2035,-854
"Education","4.College Graduate","net per capita annuity",2035,-1248
"Race Ethnicity","1.White","net per capita annuity",2035,-1008
"Race Ethnicity","2.Black","net per capita annuity",2035,-398
"Race Ethnicity","3.Hispanic","net per capita annuity",2035,-226
"Race Ethnicity","4.Other","net per capita annuity",2035,-543
"Marital Status","Married","net per capita annuity",2035,-1318
"Marital Status","Widowed","net per capita annuity",2035,-347
"Marital Status","Divorced","net per capita annuity",2035,-105
"Marital Status","Single","net per capita annuity",2035,142
"Shared Work Years","0-9","net per capita annuity",2035,20
"Shared Work Years","10-14","net per capita annuity",2035,470
"Shared Work Years","15-19","net per capita annuity",2035,85
"Shared Work Years","20-24","net per capita annuity",2035,-292
"Shared Work Years","25-29","net per capita annuity",2035,-629
"Shared Work Years","30-34","net per capita annuity",2035,-806
"Shared Work Years","35-39","net per capita annuity",2035,-796
"Shared Work Years","40+","net per capita annuity",2035,-1024
"Own Work Years","0-9","net per capita annuity",2035,-304
"Own Work Years","10-14","net per capita annuity",2035,-192
"Own Work Years","15-19","net per capita annuity",2035,-242
"Own Work Years","20-24","net per capita annuity",2035,-347
"Own Work Years","25-29","net per capita annuity",2035,-412
"Own Work Years","30-34","net per capita annuity",2035,-530
"Own Work Years","35-39","net per capita annuity",2035,-659
"Own Work Years","40+","net per capita annuity",2035,-1037
"Shared Income Quintile","bottom quintile","net per capita annuity",2035,362
"Shared Income Quintile","2nd quintile","net per capita annuity",2035,-615
"Shared Income Quintile","3rd quintile","net per capita annuity",2035,-1005
"Shared Income Quintile","4th quintile","net per capita annuity",2035,-1213
"Shared Income Quintile","top quintile","net per capita annuity",2035,-1518
"Shared Lifetime Earnings Quintile","bottom quintile","net per capita annuity",2035,450
"Shared Lifetime Earnings Quintile","2nd quintile","net per capita annuity",2035,-523
"Shared Lifetime Earnings Quintile","3rd quintile","net per capita annuity",2035,-902
"Shared Lifetime Earnings Quintile","4th quintile","net per capita annuity",2035,-1309
"Shared Lifetime Earnings Quintile","top quintile","net per capita annuity",2035,-1689
"Homeownership","Home Owner","net per capita annuity",2035,-1050
"Homeownership","Renter","net per capita annuity",2035,138
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","net per capita annuity",2035,312
"Family Income Relative to Official Poverty","2.100-199% of Poverty","net per capita annuity",2035,-251
"Family Income Relative to Official Poverty","3.200-399% of Poverty","net per capita annuity",2035,6
"Family Income Relative to Official Poverty","4.400%+ of Poverty","net per capita annuity",2035,250
"Per Capita Retirement Account Assets ($2015)","<0k","net per capita annuity",2035,-2571
"Per Capita Retirement Account Assets ($2015)","0k -  5k","net per capita annuity",2035,-5748
"Per Capita Retirement Account Assets ($2015)","5k - 25k","net per capita annuity",2035,-3721
"Per Capita Retirement Account Assets ($2015)","25k +","net per capita annuity",2035,-3623
"Per Capita Financial Assets ($2015)","<0k","net per capita annuity",2035,-800
"Per Capita Financial Assets ($2015)","0k -  5k","net per capita annuity",2035,-530
"Per Capita Financial Assets ($2015)","5k - 25k","net per capita annuity",2035,-491
"Per Capita Financial Assets ($2015)","25k +","net per capita annuity",2035,-929
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","net per capita annuity",2035,-1655
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","net per capita annuity",2035,-1151
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","net per capita annuity",2035,-1641
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","net per capita annuity",2035,-1922
"All","All","net per capita cash",2035,-965
"Age","62-69","net per capita cash",2035,-1316
"Age","70-74","net per capita cash",2035,-1125
"Age","75-79","net per capita cash",2035,-614
"Age","80-84","net per capita cash",2035,-616
"Age","85+","net per capita cash",2035,-614
"Sex","Female","net per capita cash",2035,-875
"Sex","Male","net per capita cash",2035,-1068
"Education","1.High School Dropout","net per capita cash",2035,-135
"Education","2.High School Graduate","net per capita cash",2035,-725
"Education","3.Some College","net per capita cash",2035,-1011
"Education","4.College Graduate","net per capita cash",2035,-1505
"Race Ethnicity","1.White","net per capita cash",2035,-1174
"Race Ethnicity","2.Black","net per capita cash",2035,-542
"Race Ethnicity","3.Hispanic","net per capita cash",2035,-409
"Race Ethnicity","4.Other","net per capita cash",2035,-764
"Marital Status","Married","net per capita cash",2035,-1510
"Marital Status","Widowed","net per capita cash",2035,-371
"Marital Status","Divorced","net per capita cash",2035,-370
"Marital Status","Single","net per capita cash",2035,-64
"Shared Work Years","0-9","net per capita cash",2035,20
"Shared Work Years","10-14","net per capita cash",2035,406
"Shared Work Years","15-19","net per capita cash",2035,-19
"Shared Work Years","20-24","net per capita cash",2035,-420
"Shared Work Years","25-29","net per capita cash",2035,-737
"Shared Work Years","30-34","net per capita cash",2035,-942
"Shared Work Years","35-39","net per capita cash",2035,-990
"Shared Work Years","40+","net per capita cash",2035,-1226
"Own Work Years","0-9","net per capita cash",2035,-321
"Own Work Years","10-14","net per capita cash",2035,-237
"Own Work Years","15-19","net per capita cash",2035,-348
"Own Work Years","20-24","net per capita cash",2035,-497
"Own Work Years","25-29","net per capita cash",2035,-559
"Own Work Years","30-34","net per capita cash",2035,-684
"Own Work Years","35-39","net per capita cash",2035,-830
"Own Work Years","40+","net per capita cash",2035,-1239
"Shared Income Quintile","bottom quintile","net per capita cash",2035,451
"Shared Income Quintile","2nd quintile","net per capita cash",2035,-777
"Shared Income Quintile","3rd quintile","net per capita cash",2035,-1178
"Shared Income Quintile","4th quintile","net per capita cash",2035,-1418
"Shared Income Quintile","top quintile","net per capita cash",2035,-1910
"Shared Lifetime Earnings Quintile","bottom quintile","net per capita cash",2035,409
"Shared Lifetime Earnings Quintile","2nd quintile","net per capita cash",2035,-642
"Shared Lifetime Earnings Quintile","3rd quintile","net per capita cash",2035,-1061
"Shared Lifetime Earnings Quintile","4th quintile","net per capita cash",2035,-1501
"Shared Lifetime Earnings Quintile","top quintile","net per capita cash",2035,-2031
"Homeownership","Home Owner","net per capita cash",2035,-1232
"Homeownership","Renter","net per capita cash",2035,11
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","net per capita cash",2035,-761
"Family Income Relative to Official Poverty","2.100-199% of Poverty","net per capita cash",2035,-173
"Family Income Relative to Official Poverty","3.200-399% of Poverty","net per capita cash",2035,-495
"Family Income Relative to Official Poverty","4.400%+ of Poverty","net per capita cash",2035,-533
"Per Capita Retirement Account Assets ($2015)","<0k","net per capita cash",2035,-2516
"Per Capita Retirement Account Assets ($2015)","0k -  5k","net per capita cash",2035,-3671
"Per Capita Retirement Account Assets ($2015)","5k - 25k","net per capita cash",2035,-2423
"Per Capita Retirement Account Assets ($2015)","25k +","net per capita cash",2035,-2242
"Per Capita Financial Assets ($2015)","<0k","net per capita cash",2035,-786
"Per Capita Financial Assets ($2015)","0k -  5k","net per capita cash",2035,-393
"Per Capita Financial Assets ($2015)","5k - 25k","net per capita cash",2035,-589
"Per Capita Financial Assets ($2015)","25k +","net per capita cash",2035,-1306
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","net per capita cash",2035,-1499
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","net per capita cash",2035,-972
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","net per capita cash",2035,-1525
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","net per capita cash",2035,-1528
"All","All","per capita annuity",2045,-1020
"Age","62-69","per capita annuity",2045,-791
"Age","70-74","per capita annuity",2045,-1266
"Age","75-79","per capita annuity",2045,-1398
"Age","80-84","per capita annuity",2045,-1086
"Age","85+","per capita annuity",2045,-769
"Sex","Female","per capita annuity",2045,-915
"Sex","Male","per capita annuity",2045,-1138
"Education","1.High School Dropout","per capita annuity",2045,-41
"Education","2.High School Graduate","per capita annuity",2045,-618
"Education","3.Some College","per capita annuity",2045,-987
"Education","4.College Graduate","per capita annuity",2045,-1759
"Race Ethnicity","1.White","per capita annuity",2045,-1356
"Race Ethnicity","2.Black","per capita annuity",2045,-404
"Race Ethnicity","3.Hispanic","per capita annuity",2045,-295
"Race Ethnicity","4.Other","per capita annuity",2045,-879
"Marital Status","Married","per capita annuity",2045,-2127
"Marital Status","Widowed","per capita annuity",2045,315
"Marital Status","Divorced","per capita annuity",2045,-157
"Marital Status","Single","per capita annuity",2045,419
"Shared Work Years","0-9","per capita annuity",2045,49
"Shared Work Years","10-14","per capita annuity",2045,519
"Shared Work Years","15-19","per capita annuity",2045,-133
"Shared Work Years","20-24","per capita annuity",2045,-637
"Shared Work Years","25-29","per capita annuity",2045,-878
"Shared Work Years","30-34","per capita annuity",2045,-1169
"Shared Work Years","35-39","per capita annuity",2045,-1100
"Shared Work Years","40+","per capita annuity",2045,-1213
"Own Work Years","0-9","per capita annuity",2045,-567
"Own Work Years","10-14","per capita annuity",2045,-465
"Own Work Years","15-19","per capita annuity",2045,-570
"Own Work Years","20-24","per capita annuity",2045,-691
"Own Work Years","25-29","per capita annuity",2045,-672
"Own Work Years","30-34","per capita annuity",2045,-876
"Own Work Years","35-39","per capita annuity",2045,-807
"Own Work Years","40+","per capita annuity",2045,-1236
"Shared Income Quintile","bottom quintile","per capita annuity",2045,567
"Shared Income Quintile","2nd quintile","per capita annuity",2045,-670
"Shared Income Quintile","3rd quintile","per capita annuity",2045,-1044
"Shared Income Quintile","4th quintile","per capita annuity",2045,-1426
"Shared Income Quintile","top quintile","per capita annuity",2045,-2523
"Shared Lifetime Earnings Quintile","bottom quintile","per capita annuity",2045,623
"Shared Lifetime Earnings Quintile","2nd quintile","per capita annuity",2045,-363
"Shared Lifetime Earnings Quintile","3rd quintile","per capita annuity",2045,-796
"Shared Lifetime Earnings Quintile","4th quintile","per capita annuity",2045,-1735
"Shared Lifetime Earnings Quintile","top quintile","per capita annuity",2045,-2827
"Homeownership","Home Owner","per capita annuity",2045,-1444
"Homeownership","Renter","per capita annuity",2045,339
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","per capita annuity",2045,-105
"Family Income Relative to Official Poverty","2.100-199% of Poverty","per capita annuity",2045,-356
"Family Income Relative to Official Poverty","3.200-399% of Poverty","per capita annuity",2045,1017
"Family Income Relative to Official Poverty","4.400%+ of Poverty","per capita annuity",2045,629
"Per Capita Retirement Account Assets ($2015)","<0k","per capita annuity",2045,-4979
"Per Capita Retirement Account Assets ($2015)","0k -  5k","per capita annuity",2045,-7345
"Per Capita Retirement Account Assets ($2015)","5k - 25k","per capita annuity",2045,-7627
"Per Capita Retirement Account Assets ($2015)","25k +","per capita annuity",2045,-8258
"Per Capita Financial Assets ($2015)","<0k","per capita annuity",2045,-638
"Per Capita Financial Assets ($2015)","0k -  5k","per capita annuity",2045,-935
"Per Capita Financial Assets ($2015)","5k - 25k","per capita annuity",2045,-224
"Per Capita Financial Assets ($2015)","25k +","per capita annuity",2045,-1117
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","per capita annuity",2045,-1954
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","per capita annuity",2045,-2489
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","per capita annuity",2045,-2859
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","per capita annuity",2045,-3658
"All","All","per capita cash",2045,-1377
"Age","62-69","per capita cash",2045,-1678
"Age","70-74","per capita cash",2045,-1460
"Age","75-79","per capita cash",2045,-1406
"Age","80-84","per capita cash",2045,-1134
"Age","85+","per capita cash",2045,-885
"Sex","Female","per capita cash",2045,-1212
"Sex","Male","per capita cash",2045,-1565
"Education","1.High School Dropout","per capita cash",2045,-194
"Education","2.High School Graduate","per capita cash",2045,-937
"Education","3.Some College","per capita cash",2045,-1271
"Education","4.College Graduate","per capita cash",2045,-2270
"Race Ethnicity","1.White","per capita cash",2045,-1708
"Race Ethnicity","2.Black","per capita cash",2045,-589
"Race Ethnicity","3.Hispanic","per capita cash",2045,-778
"Race Ethnicity","4.Other","per capita cash",2045,-1276
"Marital Status","Married","per capita cash",2045,-2524
"Marital Status","Widowed","per capita cash",2045,254
"Marital Status","Divorced","per capita cash",2045,-646
"Marital Status","Single","per capita cash",2045,-95
"Shared Work Years","0-9","per capita cash",2045,58
"Shared Work Years","10-14","per capita cash",2045,486
"Shared Work Years","15-19","per capita cash",2045,-258
"Shared Work Years","20-24","per capita cash",2045,-818
"Shared Work Years","25-29","per capita cash",2045,-1091
"Shared Work Years","30-34","per capita cash",2045,-1376
"Shared Work Years","35-39","per capita cash",2045,-1478
"Shared Work Years","40+","per capita cash",2045,-1676
"Own Work Years","0-9","per capita cash",2045,-604
"Own Work Years","10-14","per capita cash",2045,-495
"Own Work Years","15-19","per capita cash",2045,-645
"Own Work Years","20-24","per capita cash",2045,-861
"Own Work Years","25-29","per capita cash",2045,-1011
"Own Work Years","30-34","per capita cash",2045,-1142
"Own Work Years","35-39","per capita cash",2045,-1184
"Own Work Years","40+","per capita cash",2045,-1685
"Shared Income Quintile","bottom quintile","per capita cash",2045,651
"Shared Income Quintile","2nd quintile","per capita cash",2045,-880
"Shared Income Quintile","3rd quintile","per capita cash",2045,-1406
"Shared Income Quintile","4th quintile","per capita cash",2045,-2002
"Shared Income Quintile","top quintile","per capita cash",2045,-3247
"Shared Lifetime Earnings Quintile","bottom quintile","per capita cash",2045,552
"Shared Lifetime Earnings Quintile","2nd quintile","per capita cash",2045,-561
"Shared Lifetime Earnings Quintile","3rd quintile","per capita cash",2045,-1164
"Shared Lifetime Earnings Quintile","4th quintile","per capita cash",2045,-2105
"Shared Lifetime Earnings Quintile","top quintile","per capita cash",2045,-3606
"Homeownership","Home Owner","per capita cash",2045,-1819
"Homeownership","Renter","per capita cash",2045,39
"Family Income Relative to Official Poverty","1.Less 100% of Poverty","per capita cash",2045,-1520
"Family Income Relative to Official Poverty","2.100-199% of Poverty","per capita cash",2045,-216
"Family Income Relative to Official Poverty","3.200-399% of Poverty","per capita cash",2045,-253
"Family Income Relative to Official Poverty","4.400%+ of Poverty","per capita cash",2045,-439
"Per Capita Retirement Account Assets ($2015)","<0k","per capita cash",2045,-3992
"Per Capita Retirement Account Assets ($2015)","0k -  5k","per capita cash",2045,-5529
"Per Capita Retirement Account Assets ($2015)","5k - 25k","per capita cash",2045,-5602
"Per Capita Retirement Account Assets ($2015)","25k +","per capita cash",2045,-5585
"Per Capita Financial Assets ($2015)","<0k","per capita cash",2045,-623
"Per Capita Financial Assets ($2015)","0k -  5k","per capita cash",2045,-886
"Per Capita Financial Assets ($2015)","5k - 25k","per capita cash",2045,-378
"Per Capita Financial Assets ($2015)","25k +","per capita cash",2045,-1894
"Per Capita Financial + Retirement Account Assets ($2015)","<0k","per capita cash",2045,-1714
"Per Capita Financial + Retirement Account Assets ($2015)","0k -  5k","per capita cash",2045,-2006
"Per Capita Financial + Retirement Account Assets ($2015)","5k - 25k","per capita cash",2045,-2546
"Per Capita Financial + Retirement Account Assets ($2015)","25k +","per capita cash",2045,-2908
"All","All","net per capita annuity",2045,-852
"Age","62-69","net per capita annuity",2045,-606
"Age","70-74","net per capita annuity",2045,-1063
"Age","75-79","net per capita annuity",2045,-1225
"Age","80-84","net per capita annuity",2045,-959
"Age","85+","net per capita annuity",2045,-640
"Sex","Female","net per capita annuity",2045,-762
"Sex","Male","net per capita annuity",2045,-954
"Education","1.High School Dropout","net per capita annuity",2045,0
"Education","2.High School Graduate","net per capita annuity",2045,-525
"Education","3.Some College","net per capita annuity",2045,-838
"Education","4.College Graduate","net per capita annuity",2045,-1466
"Race Ethnicity","1.White","net per capita annuity",2045,-1160
"Race Ethnicity","2.Black","net per capita annuity",2045,-339
"Race Ethnicity","3.Hispanic","net per capita annuity",2045,-159
"Race Ethnicity","4.Other","net per capita annuity",2045,-704
"Marital Status","Married","net per capita annuity",2045,-1835
"Marital Status","Widowed","net per capita annuity",2045,300
"Marital Status","Divorced","net per capita annuity",2045,-59
"Marital Status","Single","net per capita annuity",2045,448
"Shared Work Years","0-9","net per capita annuity",2045,48
"Shared Work Years","10-14","net per capita annuity",2045,528
"Shared Work Years","15-19","net per capita annuity",2045,-68
"Shared Work Years","20-24","net per capita annuity",2045,-604
"Shared Work Years","25-29","net per capita annuity",2045,-791
"Shared Work Years","30-34","net per capita annuity",2045,-1045
"Shared Work Years","35-39","net per capita annuity",2045,-954
"Shared Work Years","40+","net per capita annuity",2045,-987
"Own Work Years","0-9","net per capita annuity",2045,-533
"Own Work Years","10-14","net per capita annuity",2045,-384
"Own Work Years","15-19","net per capita annuity",2045,-489
"Own Work Years","20-24","net per capita annuity",2045,-601
"Own Work Years","25-29","net per capita annuity",2045,-579
"Own Work Years","30-34","net per capita annuity",2045,-751
"Own Work Years","35-39","net per capita annuity",2045,-697
"Own Work Years","40+","net per capita annuity",2045,-1017
"Shared Income Quintile","bottom quintile","net per capita annuity",2045,551
"Shared Income Quintile","2nd quintile","net per capita annuity",2045,-654
"Shared Income Quintile","3rd quintile","net per capita annuity",2045,-1005
"Shared Income Quintile","4th quintile","net per capita annuity",2045,-1148
"Shared Income Quintile","top quintile","net per capita annuity",2045,-2001
"Shared Lifetime Earnings Quintile","bottom quintile","net per capita annuity",2045,629
"Shared Lifetime Earnings Quintile","2nd quintile","net per capita annuity",2045,-340
